Date,Open,High,Low,Close,Adj Close,Volume
2004-06-28,30.309999,30.629999,29.910000,30.110001,21.602308,2127900
2004-07-05,30.120001,30.129999,29.639999,29.680000,21.293810,1355700
2004-07-12,29.650000,30.129999,29.260000,29.309999,21.028355,1141300
2004-07-19,29.500000,29.600000,28.730000,28.920000,20.748556,1116300
2004-07-26,28.940001,28.969999,28.260000,28.920000,20.748556,1240800
2004-08-02,28.920000,29.049999,27.790001,27.879999,20.002405,1792700
2004-08-09,27.850000,28.730000,27.750000,28.250000,20.267860,4010700
2004-08-16,28.350000,29.230000,28.309999,29.190001,20.942261,2466200
2004-08-23,29.100000,29.610001,29.080000,29.600000,21.236408,1763200
2004-08-30,29.549999,29.990000,29.180000,29.750000,21.344027,3160000
2004-09-06,30.000000,30.379999,29.459999,29.719999,21.322502,1256700
2004-09-13,29.760000,30.059999,29.650000,29.850000,21.415783,4611700
2004-09-20,29.799999,29.799999,28.850000,29.170000,20.990494,3631400
2004-09-27,29.170000,29.379999,28.650000,29.059999,20.911343,4038300
2004-10-04,29.059999,30.000000,28.000000,28.020000,20.162964,1706000
2004-10-11,28.020000,28.280001,27.430000,27.709999,19.939888,2376300
2004-10-18,27.650000,28.049999,26.980000,27.040001,19.457769,1980200
2004-10-25,27.150000,28.219999,26.700001,28.150000,20.256519,1715300
2004-11-01,28.100000,30.280001,27.520000,28.730000,20.673870,5796800
2004-11-08,28.680000,28.930000,28.500000,28.840000,20.753035,1686900
2004-11-15,28.770000,29.110001,28.379999,28.410000,20.443598,2833000
2004-11-22,28.500000,28.730000,28.250000,28.610001,20.587523,3767500
2004-11-29,28.700001,29.590000,28.510000,29.260000,21.055244,3077000
2004-12-06,29.260000,29.650000,28.870001,29.490000,21.220758,3771400
2004-12-13,29.600000,30.440001,29.180000,29.700001,21.371872,3388800
2004-12-20,29.770000,30.080000,29.309999,29.959999,21.625128,7241000
2004-12-27,30.100000,30.400000,29.900000,30.190001,21.791140,1780500
2005-01-03,30.450001,30.450001,29.469999,29.750000,21.473553,2929900
