Date,Open,High,Low,Close,Adj Close,Volume
2004-06-28,31.700001,31.719999,31.240000,31.270000,24.347895,1405900
2004-07-05,31.100000,31.190001,30.559999,30.730000,23.927427,1451600
2004-07-12,30.600000,31.110001,30.309999,30.309999,23.600405,743500
2004-07-19,30.309999,30.770000,29.870001,30.129999,23.460249,1588200
2004-07-26,30.100000,30.580000,29.740000,30.430000,23.693836,892800
2004-08-02,30.430000,30.680000,29.129999,29.180000,22.720552,1506700
2004-08-09,29.150000,29.570000,28.900000,29.030001,22.603746,807200
2004-08-16,29.049999,30.530001,29.049999,30.490000,23.740561,2265100
2004-08-23,30.490000,30.690001,30.230000,30.629999,23.849571,2124000
2004-08-30,30.600000,31.080000,30.129999,30.920000,24.075363,2249800
2004-09-06,31.100000,31.350000,30.780001,31.150000,24.254454,1784400
2004-09-13,31.150000,31.549999,31.150000,31.420000,24.464676,2996000
2004-09-20,31.350000,31.480000,30.969999,31.200001,24.329037,2688400
2004-09-27,31.190001,31.660000,30.770000,31.590000,24.633139,3384800
2004-10-04,31.799999,32.110001,31.459999,31.540001,24.594154,2041800
2004-10-11,31.650000,31.820000,31.170000,31.430000,24.508381,2429300
2004-10-18,31.250000,31.900000,31.180000,31.290001,24.399218,2690800
2004-10-25,31.290001,32.590000,31.059999,32.459999,25.311543,2729300
2004-11-01,32.480000,33.849998,32.380001,33.630001,26.223888,2081000
2004-11-08,33.610001,34.270000,33.560001,34.209999,26.676157,1986900
2004-11-15,34.209999,34.410000,33.709999,33.750000,26.317455,2717200
2004-11-22,33.650002,34.509998,33.610001,34.419998,26.839911,3979900
2004-11-29,34.450001,34.590000,33.799999,34.279999,26.730724,3369800
2004-12-06,34.169998,34.549999,33.930000,34.400002,26.824310,1132600
2004-12-13,34.500000,34.959999,34.310001,34.529999,26.925688,2288000
2004-12-20,34.599998,34.970001,34.430000,34.860001,27.267653,2672900
2004-12-27,34.950001,35.459999,34.840000,35.290001,27.603996,971200
2005-01-03,35.450001,35.549999,34.189999,34.330002,26.853092,1748800
2005-01-10,34.200001,34.610001,34.020000,34.509998,26.993893,1057200
2005-01-17,34.400002,34.849998,33.650002,33.709999,26.368124,1089000
2005-01-24,33.720001,33.799999,33.230000,33.419998,26.141281,1184900
2005-01-31,33.419998,34.150002,33.419998,34.150002,26.712294,1683100
2005-02-07,34.180000,34.310001,33.720001,34.090000,26.665359,1619100
2005-02-14,34.200001,34.360001,33.959999,34.009998,26.602779,926100
2005-02-21,33.730000,33.820000,33.330002,33.740002,26.391584,1508800
2005-02-28,33.740002,34.279999,33.439999,34.250000,26.790510,1442100
2005-03-07,34.250000,34.400002,33.619999,33.740002,26.391584,2027000
2005-03-14,33.730000,34.139999,33.270000,33.419998,26.141281,3592000
2005-03-21,33.450001,33.450001,32.820000,32.919998,25.786961,1546100
2005-03-28,32.970001,33.470001,32.709999,32.900002,25.771292,2958900
2005-04-04,32.849998,33.400002,32.689999,32.939999,25.802620,1861700
2005-04-11,33.040001,33.139999,31.430000,31.469999,24.651142,3940700
