Date,Open,High,Low,Close,Adj Close,Volume
2004-06-28,22.959999,23.150000,22.790001,22.860001,13.762027,1726400
2004-07-05,22.840000,22.990000,22.780001,22.920000,13.798142,1496100
2004-07-12,22.900000,23.100000,22.740000,22.809999,13.731922,2625800
2004-07-19,22.830000,23.020000,22.030001,22.120001,13.316529,3340600
2004-07-26,22.200001,22.299999,21.830000,21.950001,13.214187,2003000
2004-08-02,21.860001,22.240000,21.600000,21.600000,13.003485,1612000
2004-08-09,21.680000,22.150000,21.629999,22.070000,13.286431,2200400
2004-08-16,22.120001,22.420000,22.010000,22.370001,13.467040,1586400
2004-08-23,22.389999,22.490000,22.180000,22.430000,13.503151,408900
2004-08-30,22.450001,22.780001,22.200001,22.700001,13.665701,748100
2004-09-06,22.790001,22.790001,22.209999,22.389999,13.479078,909900
2004-09-13,22.350000,22.480000,22.000000,22.090000,13.298471,1831600
2004-09-20,21.799999,21.830000,21.420000,21.530001,13.016164,4530000
2004-09-27,21.459999,21.940001,21.360001,21.879999,13.227757,3582700
2004-10-04,21.950001,22.000000,21.559999,21.610001,13.064528,2548300
2004-10-11,21.559999,21.629999,21.370001,21.510000,13.004073,4044900
2004-10-18,21.459999,21.680000,21.370001,21.379999,12.925473,2570600
2004-10-25,21.490000,21.900000,21.180000,21.799999,13.179393,2992500
2004-11-01,21.809999,22.820000,21.700001,22.750000,13.753732,2878900
2004-11-08,22.700001,22.990000,22.610001,22.969999,13.886731,3002900
2004-11-15,22.969999,23.059999,22.610001,22.650000,13.693272,2913400
2004-11-22,22.600000,22.809999,22.590000,22.740000,13.747681,967900
2004-11-29,22.680000,22.969999,22.330000,22.809999,13.790006,9619500
2004-12-06,22.850000,22.959999,22.469999,22.910000,13.850462,1234200
2004-12-13,22.910000,23.290001,22.780001,22.830000,13.802102,5263400
2004-12-20,23.030001,23.129999,22.760000,23.040001,13.986572,1050700
2004-12-27,23.150000,23.250000,22.930000,23.080000,14.010857,1181600
2005-01-03,23.299999,23.410000,22.830000,23.100000,14.022995,5582200
2005-01-10,23.200001,23.340000,23.000000,23.190001,14.077640,2195100
2005-01-17,22.959999,23.520000,22.959999,23.170000,14.065491,3289600
2005-01-24,23.219999,23.340000,23.059999,23.290001,14.138339,3446600
2005-01-31,23.520000,23.690001,23.240000,23.639999,14.350805,3900900
2005-02-07,23.600000,23.730000,23.330000,23.540001,14.290104,4458400
2005-02-14,23.629999,23.799999,23.400000,23.469999,14.247603,2722200
2005-02-21,23.469999,23.469999,23.059999,23.370001,14.186903,2812900
2005-02-28,23.500000,23.799999,23.280001,23.730000,14.405436,5001300
2005-03-07,23.730000,23.770000,23.200001,23.250000,14.114056,3912000
2005-03-14,23.340000,23.450001,22.950001,23.030001,13.980500,1707400
2005-03-21,23.120001,23.120001,22.650000,22.910000,13.965444,1943100
2005-03-28,22.950001,23.200001,22.740000,22.799999,13.898390,5610600
2005-04-04,22.950001,23.219999,22.780001,23.090000,14.075164,3185200
2005-04-11,23.200001,23.270000,22.799999,22.860001,13.934968,2452200
2005-04-18,22.900000,22.950001,22.459999,22.620001,13.788665,4512800
2005-04-25,22.740000,22.920000,22.469999,22.780001,13.886197,6970200
2005-05-02,22.870001,23.340000,22.809999,23.070000,14.062983,4037600
2005-05-09,23.170000,23.260000,22.740000,22.850000,13.928864,3762300
2005-05-16,22.950001,23.559999,22.920000,23.520000,14.337288,2471300
2005-05-23,23.600000,23.650000,23.290001,23.389999,14.258040,3753600
2005-05-30,23.480000,23.549999,23.260000,23.340000,14.227569,1712500
2005-06-06,23.370001,23.570000,23.250000,23.370001,14.245849,2691000
2005-06-13,23.450001,23.500000,23.260000,23.299999,14.203177,2331900
2005-06-20,23.299999,23.370001,22.719999,22.740000,13.928627,4762700
2005-06-27,22.770000,23.059999,22.670000,22.830000,13.983751,3208100
2005-07-04,22.790001,23.020000,22.549999,23.000000,14.087877,2923900
2005-07-11,23.080000,23.480000,23.000000,23.360001,14.308393,2309500
2005-07-18,23.320000,23.420000,23.049999,23.280001,14.259386,6828800
2005-07-25,23.389999,23.629999,23.200001,23.480000,14.381887,4850200
2005-08-01,23.510000,23.510000,23.120001,23.139999,14.173629,6237200
2005-08-08,23.120001,23.379999,22.990000,23.080000,14.136875,5998000
2005-08-15,23.040001,23.280001,22.860001,23.180000,14.198136,8495200
2005-08-22,23.150000,23.379999,22.900000,22.950001,14.057258,3892400
2005-08-29,22.900000,23.200001,22.809999,23.080000,14.136875,2687400
2005-09-05,23.120001,23.459999,23.120001,23.360001,14.308393,7514900
2005-09-12,23.299999,23.430000,23.020000,23.080000,14.136875,6472200
2005-09-19,23.120001,23.200001,22.400000,22.730000,13.992065,6736800
2005-09-26,22.870001,23.280001,22.600000,23.280001,14.330641,6418500
2005-10-03,23.200001,23.350000,22.719999,22.840000,14.059781,5015600
2005-10-10,22.950001,22.969999,22.520000,22.750000,14.004375,4881200
2005-10-17,22.650000,23.200001,22.600000,22.870001,14.078243,6516900
2005-10-24,22.850000,23.120001,22.680000,23.080000,14.207518,3794800
2005-10-31,23.200001,23.360001,22.959999,23.180000,14.269074,4334300
2005-11-07,23.290001,23.530001,23.059999,23.500000,14.466059,4496900
2005-11-14,23.500000,23.520000,23.240000,23.400000,14.404500,4584900
2005-11-21,23.370001,23.780001,23.350000,23.700001,14.589176,3690000
2005-11-28,23.639999,23.730000,23.379999,23.530001,14.484529,3799700
2005-12-05,23.430000,23.559999,23.250000,23.360001,14.379880,5399000
2005-12-12,23.389999,24.030001,23.370001,23.799999,14.650737,7387200
2005-12-19,23.709999,23.879999,23.580000,23.670000,14.644109,4635200
2005-12-26,23.700001,23.709999,23.290001,23.290001,14.409019,2620300
2006-01-02,23.309999,23.570000,23.180000,23.500000,14.538940,5435000
2006-01-09,23.469999,23.629999,23.440001,23.480000,14.526566,6458000
2006-01-16,23.299999,23.549999,23.170000,23.170000,14.334781,11443200
